L,N,dx,b,sample,delta,pin_height,area,radius,wrap
12.0,48,0.25,1.2,125,0.25,1.45,21.6875,7.352720584926371,0.0
12.0,48,0.25,1.2,126,0.25,1.45,5.75,4.301162633521313,0.0
12.0,48,0.25,1.2,127,0.25,1.45,5.875,3.5355339059327378,0.0
12.0,48,0.25,1.2,128,0.25,1.45,9.0,3.553167600887974,0.0
12.0,48,0.25,1.2,129,0.25,1.45,4.3125,2.6100766272276377,0.0
12.0,48,0.25,1.2,130,0.25,1.45,2.9375,1.8027756377319946,0.0
12.0,48,0.25,1.2,131,0.25,1.45,0.875,0.7905694150420949,0.0
12.0,48,0.25,1.2,132,0.25,1.45,0.75,0.7905694150420949,0.0
12.0,48,0.25,1.2,133,0.25,1.45,7.75,3.132491021535417,0.0
12.0,48,0.25,1.2,134,0.25,1.45,1.5625,1.6007810593582121,0.0
12.0,48,0.25,1.2,135,0.25,1.45,3.0,1.9039432764659772,0.0
12.0,48,0.25,1.2,136,0.25,1.45,3.125,1.5811388300841898,0.0
12.0,48,0.25,1.2,137,0.25,1.45,16.6875,4.962358310319802,0.0
12.0,48,0.25,1.2,138,0.25,1.45,4.1875,3.5089172119045497,0.0
12.0,48,0.25,1.2,139,0.25,1.45,2.4375,1.4142135623730951,0.0
12.0,48,0.25,1.2,140,0.25,1.45,5.5625,2.4748737341529163,0.0
12.0,48,0.25,1.2,141,0.25,1.45,11.5625,4.5069390943299865,0.0
12.0,48,0.25,1.2,142,0.25,1.45,9.6875,4.038873605350878,0.0
12.0,48,0.25,1.2,143,0.25,1.45,0.8125,0.7071067811865476,0.0
12.0,48,0.25,1.2,144,0.25,1.45,5.6875,3.7165171868296265,0.0
12.0,48,0.25,1.2,145,0.25,1.45,1.625,1.5,0.0
12.0,48,0.25,1.2,146,0.25,1.45,7.375,3.5794552658190883,0.0
12.0,48,0.25,1.2,147,0.25,1.45,0.5625,0.5,0.0
12.0,48,0.25,1.2,148,0.25,1.45,5.75,2.5495097567963922,0.0
12.0,48,0.25,1.2,149,0.25,1.45,6.6875,4.0697051490249265,0.0
12.0,48,0.25,1.2,150,0.25,1.45,7.125,2.850438562747845,0.0
12.0,48,0.25,1.2,151,0.25,1.45,0.6875,0.5590169943749475,0.0
12.0,48,0.25,1.2,152,0.25,1.45,0.875,0.7071067811865476,0.0
12.0,48,0.25,1.2,153,0.25,1.45,0.9375,0.9013878188659973,0.0
12.0,48,0.25,1.2,154,0.25,1.45,1.75,1.5206906325745548,0.0
12.0,48,0.25,1.2,155,0.25,1.45,2.125,1.6770509831248424,0.0
12.0,48,0.25,1.2,156,0.25,1.45,20.5625,7.079901129253148,0.0
12.0,48,0.25,1.2,157,0.25,1.45,1.5625,1.0606601717798212,0.0
12.0,48,0.25,1.2,158,0.25,1.45,4.75,2.5495097567963922,0.0
12.0,48,0.25,1.2,159,0.25,1.45,3.0625,1.6007810593582121,0.0
12.0,48,0.25,1.2,160,0.25,1.45,2.875,1.5206906325745548,0.0
12.0,48,0.25,1.2,161,0.25,1.45,4.5,2.0155644370746373,0.0
12.0,48,0.25,1.2,162,0.25,1.45,5.6875,2.692582403567252,0.0
12.0,48,0.25,1.2,163,0.25,1.45,2.875,1.8200274723201295,0.0
12.0,48,0.25,1.2,164,0.25,1.45,10.0625,5.942432162002357,0.0
12.0,48,0.25,1.2,165,0.25,1.45,7.875,4.038873605350878,0.0
12.0,48,0.25,1.2,166,0.25,1.45,7.4375,3.020761493398643,0.0
12.0,48,0.25,1.2,167,0.25,1.45,0.875,0.7905694150420949,0.0
12.0,48,0.25,1.2,168,0.25,1.45,5.75,3.3354160160315836,0.0
12.0,48,0.25,1.2,169,0.25,1.45,1.8125,1.8200274723201295,0.0
12.0,48,0.25,1.2,170,0.25,1.45,5.25,3.132491021535417,0.0
12.0,48,0.25,1.2,171,0.25,1.45,5.4375,2.704163456597992,0.0
12.0,48,0.25,1.2,172,0.25,1.45,11.1875,6.4031242374328485,0.0
12.0,48,0.25,1.2,173,0.25,1.45,7.8125,3.783186487605389,0.0
12.0,48,0.25,1.2,174,0.25,1.45,12.875,5.771698190307598,0.0
12.0,48,0.25,1.2,175,0.25,1.45,3.625,1.9039432764659772,0.0
12.0,48,0.25,1.2,176,0.25,1.45,3.3125,1.9525624189766635,0.0
12.0,48,0.25,1.2,177,0.25,1.45,9.8125,5.482928049865327,0.0
12.0,48,0.25,1.2,178,0.25,1.45,10.4375,5.70087712549569,0.0
12.0,48,0.25,1.2,179,0.25,1.45,19.25,6.082762530298219,0.0
12.0,48,0.25,1.2,180,0.25,1.45,5.5625,3.5794552658190883,0.0
12.0,48,0.25,1.2,181,0.25,1.45,10.3125,7.652613932506983,0.0
12.0,48,0.25,1.2,182,0.25,1.45,5.4375,2.4748737341529163,0.0
12.0,48,0.25,1.2,183,0.25,1.45,15.75,4.716990566028302,0.0
12.0,48,0.25,1.2,184,0.25,1.45,3.5625,2.358495283014151,0.0
12.0,48,0.25,1.2,185,0.25,1.45,1.75,1.0606601717798212,0.0
12.0,48,0.25,1.2,186,0.25,1.45,5.0625,3.824264635194589,0.0
12.0,48,0.25,1.2,187,0.25,1.45,0.875,0.7071067811865476,0.0
12.0,48,0.25,1.2,188,0.25,1.45,11.9375,3.5794552658190883,0.0
12.0,48,0.25,1.2,189,0.25,1.45,0.6875,0.75,0.0
12.0,48,0.25,1.2,190,0.25,1.45,2.0,1.5811388300841898,0.0
12.0,48,0.25,1.2,191,0.25,1.45,9.8125,3.3634060117684275,0.0
12.0,48,0.25,1.2,192,0.25,1.45,3.5,2.0155644370746373,0.0
12.0,48,0.25,1.2,193,0.25,1.45,5.875,3.2596012026013246,0.0
12.0,48,0.25,1.2,194,0.25,1.45,4.375,2.3048861143232218,0.0
12.0,48,0.25,1.2,195,0.25,1.45,1.8125,1.346291201783626,0.0
12.0,48,0.25,1.2,196,0.25,1.45,4.25,2.23606797749979,0.0
12.0,48,0.25,1.2,197,0.25,1.45,1.1875,1.0,0.0
12.0,48,0.25,1.2,198,0.25,1.45,4.0625,1.9039432764659772,0.0
12.0,48,0.25,1.2,199,0.25,1.45,1.8125,1.0307764064044151,0.0
12.0,48,0.25,1.2,200,0.25,1.45,7.8125,3.092329219213245,0.0
12.0,48,0.25,1.2,201,0.25,1.45,2.4375,1.4142135623730951,0.0
12.0,48,0.25,1.2,202,0.25,1.45,25.1875,6.73145600891813,0.0
12.0,48,0.25,1.2,203,0.25,1.45,4.0,2.1360009363293826,0.0
12.0,48,0.25,1.2,204,0.25,1.45,3.5625,1.6770509831248424,0.0
12.0,48,0.25,1.2,205,0.25,1.45,23.8125,7.352720584926371,0.0
